GO_ID,ONTOLOGY,TERM,N,DE,P.DE,FDR,SigGenesInSet
GO:0007631,BP,feeding behavior,78,2,0.0212391060961517,1,"SLC24A4,LEP"
GO:0021605,BP,cranial nerve maturation,3,1,0.0213682888217699,1,SLC24A4
GO:0035867,CC,alphav-beta3 integrin-IGF-1-IGF1R complex,4,1,0.0217708608474433,1,IGF1R
GO:0021649,BP,vestibulocochlear nerve structural organization,2,1,0.0219060570355756,1,NRP2
GO:0061552,BP,ganglion morphogenesis,2,1,0.0219060570355756,1,NRP2
GO:0097374,BP,sensory neuron axon guidance,2,1,0.0219060570355756,1,NRP2
GO:1903375,BP,facioacoustic ganglion development,2,1,0.0219060570355756,1,NRP2
GO:1904835,BP,dorsal root ganglion morphogenesis,2,1,0.0219060570355756,1,NRP2
GO:0016716,MF,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, another compound as one donor, and incorporation of one atom of oxygen",9,1,0.0220177614295926,1,DEGS2
GO:0006649,BP,phospholipid transfer to membrane,3,1,0.0221150260711998,1,OSBPL10
GO:7770015,CC,intermembrane lipid transporter complex,3,1,0.0221150260711998,1,OSBPL10
GO:0008449,MF,N-acetylglucosamine-6-sulfatase activity,3,1,0.0222110068689528,1,SULF1
GO:1905331,BP,negative regulation of morphogenesis of an epithelium,7,1,0.0222765395555374,1,SULF1
GO:0007167,BP,enzyme-linked receptor protein signaling pathway,935,9,0.0224124889526643,1,"SULF1,GALNT3,IGF1R,LEP,PTPRG,NRP2,SOCS2,GPRC5A,MAGI2"
GO:1904059,BP,regulation of locomotor rhythm,2,1,0.0228283969617741,1,ZFHX3
GO:1902750,BP,negative regulation of cell cycle G2/M phase transition,71,2,0.0228426343906683,1,"FOXN3,MBTPS1"
GO:0048585,BP,negative regulation of response to stimulus,1640,12,0.0229409802228558,1,"SLC24A4,SULF1,FPR2,METRNL,IGF1R,LEP,MIR375,PDE4B,RGS20,SOCS2,GPRC5A,MAGI2"
GO:0032593,CC,insulin-responsive compartment,8,1,0.0230424594355682,1,MYO5A
GO:0060398,BP,regulation of growth hormone receptor signaling pathway,8,1,0.0236325786009161,1,SOCS2
GO:0051898,BP,negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,68,2,0.0237539993299668,1,"MIR375,MAGI2"
GO:0032817,BP,regulation of natural killer cell proliferation,11,1,0.0237586259627121,1,LEP
GO:0005009,MF,insulin receptor activity,3,1,0.0239230632136839,1,IGF1R
GO:0034987,MF,immunoglobulin receptor binding,9,1,0.0239928337178874,1,TARM1
GO:1901898,BP,negative regulation of relaxation of cardiac muscle,2,1,0.0241040704061521,1,PDE4B
GO:1904645,BP,response to amyloid-beta,55,2,0.0242706744203265,1,"FPR2,IGF1R"
GO:0015485,MF,cholesterol binding,55,2,0.0246921424818156,1,"OSBPL5,OSBPL10"
GO:0160258,CC,endoplasmic reticulum-trans-Golgi network membrane contact site,5,1,0.0249017680981438,1,OSBPL10
GO:2000491,BP,positive regulation of hepatic stellate cell activation,5,1,0.0249545088425201,1,LEP
GO:0031697,MF,beta-1 adrenergic receptor binding,3,1,0.0249559041479132,1,MAGI2
GO:0061551,BP,trigeminal ganglion development,4,1,0.0252279531827692,1,NRP2
GO:0046654,BP,tetrahydrofolate biosynthetic process,8,1,0.0253237230091083,1,MTHFD1L
GO:0001935,BP,endothelial cell proliferation,175,3,0.0258188101828632,1,"SULF1,LEP,NRP2"
GO:2000379,BP,positive regulation of reactive oxygen species metabolic process,69,2,0.0258263727784242,1,"FPR2,LEP"
GO:0043648,BP,dicarboxylic acid metabolic process,84,2,0.0258680154713134,1,"HAAO,MTHFD1L"
GO:0043261,CC,laminin-213 trimer,3,1,0.0259455732095178,1,LAMA2
GO:0060740,BP,prostate gland epithelium morphogenesis,5,1,0.0260747847725659,1,SULF1
GO:0035360,BP,positive regulation of peroxisome proliferator activated receptor signaling pathway,10,1,0.0262033031928476,1,LEP
GO:1901165,BP,positive regulation of trophoblast cell migration,7,1,0.0263916456844688,1,AGO2
GO:0033197,BP,response to vitamin E,7,1,0.0264045704237397,1,LEP
GO:0030145,MF,manganese ion binding,69,2,0.0265416345920803,1,"GALNT2,GALNT3"
GO:0097009,BP,energy homeostasis,57,2,0.0266303525576972,1,"METRNL,LEP"
GO:0008273,MF,"calcium, potassium:sodium antiporter activity",5,1,0.0267264777009046,1,SLC24A4
GO:0061550,BP,cranial ganglion development,5,1,0.0267533969495969,1,NRP2
GO:0040011,BP,locomotion,1196,10,0.02705270196597,1,"SULF1,FPR2,FPR3,AGO2,IGF1R,LAMA2,PDE4B,PTPRG,NRP2,MAGI2"
GO:0035739,BP,"CD4-positive, alpha-beta T cell proliferation",9,1,0.0271632349735913,1,TARM1
GO:2000561,BP,"regulation of CD4-positive, alpha-beta T cell proliferation",9,1,0.0271632349735913,1,TARM1
GO:0060512,BP,prostate gland morphogenesis,6,1,0.0272239540522404,1,SULF1
GO:0021682,BP,nerve maturation,4,1,0.0272608194738699,1,SLC24A4
GO:0009101,BP,glycoprotein biosynthetic process,295,4,0.0274183672063534,1,"GALNT2,GALNT3,AGO2,NECAB1"
GO:1990834,BP,response to odorant,5,1,0.02761828460595,1,SLC24A4
GO:0009396,BP,folic acid-containing compound biosynthetic process,10,1,0.0278342177141445,1,MTHFD1L
GO:0033210,BP,leptin-mediated signaling pathway,9,1,0.0278609934342495,1,LEP
GO:0035290,BP,trunk segmentation,3,1,0.0279445318520361,1,NRP2
GO:0036484,BP,trunk neural crest cell migration,3,1,0.0279445318520361,1,NRP2
GO:0036486,BP,ventral trunk neural crest cell migration,3,1,0.0279445318520361,1,NRP2
GO:0044773,BP,mitotic DNA damage checkpoint signaling,64,2,0.0279634903646561,1,"FOXN3,MBTPS1"
GO:0032276,BP,regulation of gonadotropin secretion,13,1,0.0283371188063034,1,LEP
GO:0050786,MF,RAGE receptor binding,12,1,0.028344246748331,1,FPR2
GO:0007175,BP,negative regulation of epidermal growth factor-activated receptor activity,10,1,0.0285364597380387,1,GPRC5A
GO:0120010,BP,intermembrane phospholipid transfer,6,1,0.0287394879096002,1,OSBPL5
GO:0043434,BP,response to peptide hormone,406,5,0.0287614508660183,1,"SLC24A4,IGF1R,LEP,MYO5A,CACNA2D3,SOCS2"
GO:0008543,BP,fibroblast growth factor receptor signaling pathway,64,2,0.0291326595600765,1,"SULF1,GALNT3"
GO:0005607,CC,laminin-211 trimer,4,1,0.0293472881110536,1,LAMA2
GO:0044232,CC,organelle membrane contact site,65,2,0.0293715006209603,1,"OSBPL5,OSBPL10"
GO:0044774,BP,mitotic DNA integrity checkpoint signaling,69,2,0.0294865534247575,1,"FOXN3,MBTPS1"
GO:0035630,BP,bone mineralization involved in bone maturation,11,1,0.0296913071675209,1,LEP
GO:0009642,BP,response to light intensity,10,1,0.029854833544162,1,SLC24A4
GO:0070578,CC,RISC-loading complex,8,1,0.0300838271389353,1,AGO2
GO:0030050,BP,vesicle transport along actin filament,5,1,0.0302720609398437,1,MYO5A
GO:0048742,BP,regulation of skeletal muscle fiber development,10,1,0.0303394673578921,1,SHOX2
GO:0009256,BP,10-formyltetrahydrofolate metabolic process,6,1,0.0303615833338987,1,MTHFD1L
GO:0005899,CC,insulin receptor complex,4,1,0.0307003590560977,1,IGF1R
GO:0060601,BP,lateral sprouting from an epithelium,3,1,0.0311704237383658,1,SULF1
GO:0001787,BP,natural killer cell proliferation,13,1,0.0312129362783345,1,LEP
GO:0060571,BP,morphogenesis of an epithelial fold,4,1,0.0312320320942789,1,SULF1
GO:0008277,BP,regulation of G protein-coupled receptor signaling pathway,146,3,0.0314853652538222,1,"SLC24A4,PDE4B,RGS20"
GO:0046425,BP,regulation of receptor signaling pathway via JAK-STAT,77,2,0.0316238948147556,1,"LEP,SOCS2"
GO:0034354,BP,'de novo' NAD+ biosynthetic process from L-tryptophan,10,1,0.0316283647850219,1,HAAO
GO:0042537,BP,benzene-containing compound metabolic process,16,1,0.0317087071961079,1,HAAO
GO:0048703,BP,embryonic viscerocranium morphogenesis,5,1,0.0317574678790013,1,MTHFD1L
GO:0036056,CC,filtration diaphragm,8,1,0.0318513633824925,1,MAGI2
GO:0036057,CC,slit diaphragm,8,1,0.0318513633824925,1,MAGI2
GO:0006868,BP,glutamine transport,9,1,0.0319053366062436,1,LEP
GO:0071014,CC,post-mRNA release spliceosomal complex,11,1,0.0322392364496222,1,CCDC12
GO:0097491,BP,sympathetic neuron projection guidance,4,1,0.0326283893118618,1,NRP2
GO:0005131,MF,growth hormone receptor binding,7,1,0.0327348355136311,1,SOCS2
GO:0005179,MF,hormone activity,130,2,0.0328505424643008,1,"METRNL,LEP"
GO:2000489,BP,regulation of hepatic stellate cell activation,7,1,0.0331171400087654,1,LEP
GO:0032310,BP,prostaglandin secretion,10,1,0.0332288199866795,1,LEP
GO:0034284,BP,response to monosaccharide,178,3,0.033489404985548,1,"IGF1R,LEP,PTPRN2"
GO:0050795,BP,regulation of behavior,81,2,0.0335359393308828,1,"SLC24A4,ZFHX3"
GO:0120013,MF,lipid transfer activity,76,2,0.0337693343855475,1,"OSBPL5,OSBPL10"
GO:2000272,BP,negative regulation of signaling receptor activity,13,1,0.0340066476606589,1,GPRC5A
GO:0032934,MF,sterol binding,68,2,0.0340416248559448,1,"OSBPL5,OSBPL10"
GO:0051149,BP,positive regulation of muscle cell differentiation,72,2,0.0343099918781538,1,"LAMA2,SHOX2"
GO:0021828,BP,gonadotrophin-releasing hormone neuronal migration to the hypothalamus,5,1,0.0346864217313043,1,NRP2
GO:0021856,BP,hypothalamic tangential migration using cell-axon interactions,5,1,0.0346864217313043,1,NRP2
GO:0021886,BP,hypothalamus gonadotrophin-releasing hormone neuron differentiation,5,1,0.0346864217313043,1,NRP2
GO:0021888,BP,hypothalamus gonadotrophin-releasing hormone neuron development,5,1,0.0346864217313043,1,NRP2
GO:0008528,MF,G protein-coupled peptide receptor activity,113,2,0.0347140590495506,1,"FPR2,FPR3"
GO:0005010,MF,insulin-like growth factor receptor activity,3,1,0.0347424424466004,1,IGF1R
GO:0042559,BP,pteridine-containing compound biosynthetic process,15,1,0.0349910559447639,1,MTHFD1L
GO:0014831,BP,gastro-intestinal system smooth muscle contraction,12,1,0.0350244503610665,1,SULF1
GO:2000172,BP,regulation of branching morphogenesis of a nerve,5,1,0.0354161336203606,1,SHOX2
GO:0048706,BP,embryonic skeletal system development,63,2,0.0357190060052992,1,"SULF1,MTHFD1L"
GO:0051341,BP,regulation of oxidoreductase activity,12,1,0.0358091470079807,1,LEP
GO:0016717,MF,"oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water",10,1,0.0358226907505143,1,DEGS2
GO:0021855,BP,hypothalamus cell migration,6,1,0.0359241050549683,1,NRP2
GO:0070091,BP,glucagon secretion,9,1,0.0362805901980252,1,LEP
GO:0070092,BP,regulation of glucagon secretion,9,1,0.0362805901980252,1,LEP
GO:0035999,BP,tetrahydrofolate interconversion,10,1,0.0363537138305816,1,MTHFD1L
GO:0001653,MF,peptide receptor activity,118,2,0.0364488542463693,1,"FPR2,FPR3"
GO:0035579,CC,specific granule membrane,87,2,0.0365423982877029,1,"FPR2,TARM1"
GO:0070922,BP,RISC complex assembly,10,1,0.036753913968789,1,AGO2
GO:0019751,BP,polyol metabolic process,97,2,0.0369802216046034,1,"DEGS2,ITPK1,LEP"
