slideId,dim1,dim2,group,split
859222,0.050094333,7.6457605,IIB/C,train
868711,19.14808,-4.159028,IIA,train
882294,-28.932335,1.2763405,0,train
890487-1,-4.857003,6.0755296,IA,train
890487-2,-1.5535836,0.814029,0,train
893202,12.716759,1.2846109,IA,train
903532,1.3050952,1.5222982,0,train
903854,20.79009,0.9206943,IB,train
915899-1,-14.513062,-7.1488256,0,train
922318,10.539528,-0.3704128,IB,train
926062,-25.992332,-0.80395955,0,train
929841,-2.6805947,-0.6668314,IA,train
934675-2,-20.237362,-4.31792,0,train
935832,-23.477285,-2.378186,0,train
945330,-6.778221,-1.665275,0,train
945487,5.245943,-2.5104938,0,train
945864,-18.122835,3.5818512,0,train
946088,6.712454,-1.4703695,IA,train
948636,-23.64352,-0.6966675,IB,train
952660,-3.6076086,-2.8078325,IA,train
952991,-4.9593015,-4.481637,IA,train
958283,23.589697,4.9661536,IIB/C,train
960456,-26.895086,0.51339227,0,train
961180,8.075047,5.2568655,IA,train
961518,9.680689,-0.73838127,IA,train
961804,-15.974941,3.886171,0,train
965294,-4.1936874,-4.1241946,0,train
973128,8.078975,-6.3418555,IB,train
979545,7.9461036,4.1906095,IB,train
980090,-24.783506,-0.93449885,IA,train
985442,13.81687,-1.9755499,IB,train
992692,-6.26732,-4.5710983,IA,train
994419,-19.324944,-3.3107119,0,train
996080,26.574898,1.212312,IIB/C,train
996518,-15.005621,-5.5386915,IA,train
999620,2.1826742,-2.0382428,IB,train
