filter,reducer,model,fold,n_features,mae_macro,qwk,spearman_rho,mae_group_0,mae_group_1,mae_group_2,mae_group_3,mae_group_4,mae_group_5
none,none,svr,3,12,1.508413153811544,0.0119809117676922,0.1798543345176162,2.289690438436595,1.139955632674547,0.7674483261679875,0.5844790359870214,1.701951791689155,2.566953697913958
none,none,random_forest,3,12,0.9195811287477954,0.6701750617549136,0.618563396875048,0.8663809523809524,0.6249629629629629,1.0201428571428572,0.8433333333333334,0.5706666666666667,1.592
none,none,xgboost,3,12,0.8835086591313454,0.6477937530986615,0.5743242470690354,0.8513885074782939,0.834086681233236,0.9457880875894,0.6817659536997477,0.6411629517873129,1.3468597730000813
none,none,coral,3,12,0.825913744970394,0.656223942823109,0.6638425492798281,1.0600659464086806,0.5208386690528305,0.7766203624861581,0.2758549849192301,0.7229558229446411,1.5991466840108235
none,none,ordinal_mlp,3,12,0.8605985808624791,0.666310668090661,0.6775896722149911,1.12676264274688,0.4883879489368862,0.7018319368362427,0.504046360651652,0.7613183657328287,1.5812442302703855
none,none,corn,3,12,0.996031746031746,0.6979934247817707,0.637752903825995,0.6190476190476191,0.3333333333333333,0.8571428571428571,1.6666666666666667,1.1666666666666667,1.3333333333333333
none,none,mord_ridge,3,12,0.8774250440917108,0.5396843681603503,0.5701252598524985,1.2857142857142858,0.7407407407407407,0.5714285714285714,0.0,1.0,1.6666666666666667
none,none,mord_logistic_at,3,12,0.7998236331569665,0.6504921944913991,0.6515753463792722,0.8095238095238095,0.7037037037037037,0.7857142857142857,0.0,0.8333333333333334,1.6666666666666667
none,none,ogboost,3,12,0.9307760141093474,0.717017208413002,0.6492859676778312,0.4285714285714285,0.7037037037037037,1.2857142857142858,1.0,0.8333333333333334,1.3333333333333333
none,none,ridge,4,12,1.4104474862065437,0.4323570432357043,0.4898328385897246,1.2786381445119148,0.703399771024445,0.7885670162362619,0.8935778816398968,1.149833180579678,3.648668923247065
none,none,lasso,4,12,1.414485631436086,0.1676793794440854,0.3718884363931298,2.2884390883773493,1.3668045466360406,0.4769525675158107,0.3859267625654823,1.2789869777926948,2.6898038457291378
none,none,elasticnet,4,12,1.403774429376856,0.1753923249373599,0.4151932580460331,2.255829693251305,1.3386861446116929,0.4900831336323238,0.345627601175299,1.2637980620446874,2.7286219415458284
none,none,svr,4,12,1.5725002839109614,0.1006489675516223,0.1977602260968768,2.042501989667538,1.1405945929295218,0.6007920215929278,1.1087628872515505,1.2239215916677626,3.318428620356469
none,none,random_forest,4,12,1.167723721340388,0.5635753706308841,0.6461531218119446,0.7763,0.3925185185185185,1.124857142857143,0.4406666666666667,0.8180000000000002,3.454
none,none,xgboost,4,12,1.2703447602679414,0.5823142050799623,0.5999358483205324,0.6831254411488772,0.4494678709242079,1.1072325280734472,0.6373358567555746,1.064564781529563,3.680342083175977
none,none,coral,4,12,1.2909799701703395,0.4859424570615905,0.5057775167863646,1.1334289506077766,0.4785392593454431,0.8655656107834407,0.6340510845184326,0.8979508365903582,3.7363440791765847
none,none,ordinal_mlp,4,12,1.3333142933917004,0.4775782220716141,0.5038518310138237,1.0424958050251008,0.500960170118897,0.9858330317905972,0.8227006594340006,0.8591435381344387,3.788752555847168
none,none,corn,4,12,1.319973544973545,0.5168411234324801,0.5373182841746682,0.65,0.5555555555555556,1.0,1.0,0.7142857142857143,4.0
