filter,reducer,model,fold,n_features,auroc,bal_acc,f1_macro
boruta,none,cnn,2,387.0,0.7823084749405723,0.4614754098360656,0.3089285714285714
boruta,pca100,xgboost,2,100.0,0.9255542429255952,0.7655004664800747,0.7609237140748574
boruta,pca100,random_forest,2,100.0,0.915930859823564,0.6904304944688792,0.6914311393583384
boruta,pca100,logistic,2,100.0,0.9342520025539628,0.7978408636545381,0.77115523916573
boruta,pca100,elasticnet,2,100.0,0.9370822336323718,0.7937758230041316,0.7652086475615887
boruta,pca100,svm,2,100.0,0.927994190612542,0.7866386778621884,0.7660164177969621
boruta,pca100,mlp,2,100.0,0.9202258557213306,0.7492403038784486,0.7484468339307049
boruta,pca100,cnn,2,100.0,0.8473242939384588,0.6662734906037585,0.6397997396244035
boruta,pca200,xgboost,2,200.0,0.9174928408953752,0.7087698254031721,0.7069155876743952
boruta,pca200,random_forest,2,200.0,0.8920067898715655,0.6792283086765294,0.6816343136795767
boruta,pca200,logistic,2,200.0,0.9406068170311492,0.7964414234306277,0.7700893942644641
boruta,pca200,elasticnet,2,200.0,0.9401965988983468,0.8019059043049447,0.7757391117785883
boruta,pca200,svm,2,200.0,0.9278474594693206,0.7737638278022124,0.7695576057287976
boruta,pca200,mlp,2,200.0,0.9170635699621492,0.7795015327202451,0.7675293305728088
boruta,pca200,cnn,2,200.0,0.8299641532711703,0.6634279621484739,0.607000407000407
boruta,pca300,xgboost,2,300.0,0.9161901141566792,0.6730441156870585,0.6735078053259871
boruta,pca300,random_forest,2,300.0,0.8833745221400616,0.6554244968679196,0.6520134975855114
boruta,pca300,logistic,2,300.0,0.9389013048639392,0.8076436092229775,0.7746589217562591
boruta,pca300,elasticnet,2,300.0,0.9407523369777684,0.7964414234306277,0.7687470963718172
boruta,pca300,svm,2,300.0,0.9264425210240348,0.777828868452619,0.7762566137566137
boruta,pca300,mlp,2,300.0,0.9092187411811196,0.7128348660535786,0.7139879091098603
boruta,pca300,cnn,2,300.0,0.9056666115795404,0.6680261228841796,0.6695015202172666
boruta,pls20,xgboost,2,20.0,0.8966867949950533,0.7202452352392377,0.7127457522714439
boruta,pls20,random_forest,2,20.0,0.898440133471219,0.6880381180860988,0.6870214794854181
boruta,pls20,logistic,2,20.0,0.912167776909462,0.7637878182060508,0.7314131858836151
boruta,pls20,elasticnet,2,20.0,0.907182040198768,0.7597227775556443,0.7257780930097314
boruta,pls20,svm,2,20.0,0.9249145516178572,0.7754364920698387,0.7663197245852343
boruta,pls20,mlp,2,20.0,0.8393735287226257,0.6597227775556443,0.655646932810486
boruta,pls20,cnn,2,20.0,0.8607979250925993,0.6421031587365054,0.6413825757575758
boruta,pls30,xgboost,2,30.0,0.8981269515815176,0.6828468612554978,0.6809061188187518
boruta,pls30,random_forest,2,30.0,0.8937753400517967,0.6727708916433426,0.6715078836331334
boruta,pls30,logistic,2,30.0,0.9004023627669593,0.7206517393042783,0.7056427110915954
boruta,pls30,elasticnet,2,30.0,0.8964745422749149,0.7151872584299613,0.6990156928681518
boruta,pls30,svm,2,30.0,0.9198814898763676,0.7547047847527656,0.7505898509119863
boruta,pls30,mlp,2,30.0,0.8230094604516078,0.6206117552978808,0.6084688346883469
boruta,pls30,cnn,2,30.0,0.8727703382812582,0.6289151006264161,0.6294958565326754
boruta,ae,xgboost,3,64.0,0.8250306010033311,0.6052845528455285,0.6038633642150374
boruta,ae,random_forest,3,64.0,0.8336991303926432,0.6360433604336043,0.6314774047575369
boruta,ae,logistic,3,64.0,0.8749254059614607,0.6712737127371273,0.6430824077882902
boruta,ae,elasticnet,3,64.0,0.8743349731205128,0.6712737127371273,0.6430378153508234
boruta,ae,svm,3,64.0,0.8656006927371124,0.6627371273712738,0.641441302962472
boruta,ae,mlp,3,64.0,0.854400950043745,0.6593495934959349,0.6603933145747806
boruta,ae,cnn,3,64.0,0.8629658163124024,0.6953929539295393,0.6506905761386559
boruta,ae_vae,xgboost,3,64.0,0.8729424403640612,0.6264227642276422,0.622280701754386
boruta,ae_vae,random_forest,3,64.0,0.8528169715727811,0.6516260162601626,0.6432360742705571
boruta,ae_vae,logistic,3,64.0,0.8600232225223384,0.6657181571815719,0.6294547141885088
boruta,ae_vae,elasticnet,3,64.0,0.8597171376470737,0.6657181571815719,0.6294547141885088
boruta,ae_vae,svm,3,64.0,0.840587791855549,0.6586720867208672,0.6365529831549249
boruta,ae_vae,mlp,3,64.0,0.8562310790188818,0.6420054200542006,0.6248677248677249
boruta,ae_vae,cnn,3,64.0,0.8566083994000669,0.637940379403794,0.6202166544147676
boruta,chrom_hmm,xgboost,3,15.0,0.8515075601598324,0.6890243902439024,0.6787824543865971
boruta,chrom_hmm,random_forest,3,15.0,0.8591079709298889,0.662330623306233,0.6514859340946297
boruta,chrom_hmm,logistic,3,15.0,0.8796364636354178,0.6956639566395664,0.668529728275491
boruta,chrom_hmm,elasticnet,3,15.0,0.8817501968343352,0.7037940379403794,0.67791701475912
boruta,chrom_hmm,svm,3,15.0,0.8791150537851692,0.7052845528455284,0.6798436562760007
boruta,chrom_hmm,mlp,3,15.0,0.8509231193527068,0.6501355013550135,0.6375900787665493
boruta,chrom_hmm,cnn,3,15.0,0.859600954871051,0.62710027100271,0.628498890268601
boruta,none,xgboost,3,440.0,0.8896097010887258,0.6730352303523035,0.674549955910693
boruta,none,random_forest,3,440.0,0.8718422543069672,0.6426829268292683,0.6433939146416173
boruta,none,logistic,3,440.0,0.88400655540662,0.7174796747967479,0.7102791886219381
boruta,none,elasticnet,3,440.0,0.8874339519769127,0.6871273712737128,0.6786697836492088
boruta,none,svm,3,440.0,0.8908155686603814,0.709349593495935,0.6937437708613435
boruta,none,mlp,3,440.0,0.81992463508935,0.667208672086721,0.6194594594594595
boruta,none,cnn,3,440.0,0.4597724692380864,0.3333333333333333,0.1801801801801802
boruta,pca100,xgboost,3,100.0,0.8799961587367875,0.6971544715447154,0.6911381417887723
boruta,pca100,random_forest,3,100.0,0.8680732205951581,0.7067750677506774,0.7035907859078591
boruta,pca100,logistic,3,100.0,0.8885344140137065,0.712330623306233,0.6952401786528121
