filter,reducer,model,fold,n_features,mae_macro,qwk,spearman_rho,mae_group_0,mae_group_1,mae_group_2,mae_group_3,mae_group_4,mae_group_5
iqr,chrom_hmm,lasso,1,15,1.2949534912320286,0.2213516160626837,0.6786790424427266,2.087004492673972,1.185697376535246,0.4458535535787949,0.5807789861488688,1.1515981971406748,2.318788341314616
iqr,chrom_hmm,elasticnet,1,15,1.2746972222552186,0.2605288932419197,0.7343922729334318,2.0393516749246867,1.1740730602355416,0.4572445187813936,0.4426274960225245,1.1365599512146107,2.398326632352555
iqr,chrom_hmm,svr,1,15,0.8829719773985006,0.7264718419930849,0.7555488218760702,0.4918611133373682,0.6837011559958703,0.5842492437867893,0.6954538734194543,0.8061272183562771,2.036439259495244
iqr,chrom_hmm,random_forest,1,15,1.0298572310405645,0.6244548538200614,0.7278229632733942,0.7654,0.4934814814814814,0.5691428571428572,0.6933333333333334,0.8042857142857143,2.8535
iqr,chrom_hmm,xgboost,1,15,1.0360979943105877,0.6132311772506263,0.6400447020202408,0.748186974041164,0.5888878402334673,0.6520456118243081,0.7213775714238485,0.9779509731701442,2.5281389951705933
iqr,chrom_hmm,coral,1,15,0.9408275431334132,0.6792054842678854,0.7391643157466106,0.7851442947983742,0.5049630282101808,0.433073137487684,0.6259786287943522,0.7624735832214355,2.533332586288452
iqr,chrom_hmm,ordinal_mlp,1,15,0.9265359387261632,0.6601883867890783,0.7444682271086268,0.8124076768755912,0.5306089299696463,0.4937218768256051,0.4396650791168213,0.7715832846505302,2.511228784918785
iqr,chrom_hmm,corn,1,15,0.7319223985890653,0.7662857990799822,0.7736242834211424,0.5,0.6296296296296297,0.3571428571428571,0.3333333333333333,0.5714285714285714,2.0
iqr,chrom_hmm,mord_ridge,1,15,0.8193562610229277,0.7090166054523823,0.7436899200524117,0.85,0.5185185185185185,0.3571428571428571,0.3333333333333333,0.8571428571428571,2.0
iqr,chrom_hmm,mord_logistic_at,1,15,0.8521604938271605,0.7265495525356315,0.7086962266325189,0.65,0.6296296296296297,0.5,0.3333333333333333,1.0,2.0
iqr,chrom_hmm,ogboost,1,15,0.9537037037037036,0.6822825816097683,0.7249442890154264,0.5,0.5555555555555556,0.5,0.6666666666666666,1.0,2.5
iqr,pca100,ridge,1,100,0.9240010028340344,0.7001478722821624,0.6972944416520314,0.6325083265055795,0.5725316800885584,0.4708803030701361,0.7925956930185434,0.4847757459500715,2.5907142683713187
iqr,pca100,lasso,1,100,0.8594452510565445,0.7304374614910659,0.7488561426365344,0.7956629327909945,0.6565998401421064,0.4084310152910523,0.5437523211199847,0.6676493953003728,2.0845760016947565
iqr,pca100,elasticnet,1,100,0.8230520417775687,0.7318893912312059,0.7465218306721931,0.7153642966748486,0.5978959823408755,0.3483759432805098,0.5299851719754387,0.5082099000675842,2.238480956326156
iqr,pca100,svr,1,100,0.9582011398786264,0.7248881965730365,0.7339490491427341,0.4957471919849529,0.6649725114836279,0.4473776968818992,0.9243589584920244,0.6940380780798557,2.522712402349398
iqr,pca100,random_forest,1,100,0.979502380952381,0.7229851311677242,0.7747089867382282,0.5663,0.5826666666666667,0.6451428571428571,1.0773333333333337,0.6005714285714284,2.405
iqr,pca100,xgboost,1,100,1.0558422417624655,0.693419740777667,0.7446750648776193,0.5879651598632336,0.5435557354379583,0.6803501120635441,1.464620292186737,0.6429917131151471,2.4155704379081726
iqr,pca100,coral,1,100,0.9666648502653792,0.7287250075354165,0.7774145288838251,0.4239269752055407,0.5669311732053757,0.5179199746676854,0.914949099222819,0.6747138840811593,2.701547995209694
iqr,pca100,ordinal_mlp,1,100,0.9821804559137508,0.7157296272899558,0.7669839956760718,0.4324590928852558,0.4261992248120131,0.5077141991683415,1.149824142456055,0.6099533353533063,2.7669327408075333
iqr,pca100,corn,1,100,0.862169312169312,0.7338647467215222,0.7290548441450598,0.3,0.4444444444444444,0.5,1.0,0.4285714285714285,2.5
iqr,pca100,mord_ridge,1,100,0.8411375661375661,0.7001478722821624,0.6648120904276114,0.65,0.4444444444444444,0.3571428571428571,0.6666666666666666,0.4285714285714285,2.5
iqr,pca100,mord_logistic_at,1,100,0.9051146384479716,0.6890395590459002,0.6659950103968286,0.35,0.5925925925925926,0.5,0.6666666666666666,0.5714285714285714,2.75
iqr,pca100,ogboost,1,100,0.9146825396825397,0.7118155619596542,0.731495659736665,0.5,0.6666666666666666,0.6428571428571429,1.0,0.4285714285714285,2.25
iqr,pca200,ridge,1,200,0.9939143594354264,0.6872326775021386,0.689434606430325,0.5893065717723617,0.6159293016668649,0.5461878262610225,0.9629035350724904,0.5165676725980529,2.732591249241766
iqr,pca200,lasso,1,200,0.8694223928808121,0.7182123788807593,0.7446011942458363,0.815750644905209,0.6666885577254305,0.3972814541100322,0.5620233235211567,0.6627639239603155,2.112026453062729
iqr,pca200,elasticnet,1,200,0.8399426607774797,0.7004099653106275,0.7393120570101767,0.7550080381957319,0.6191890210692905,0.3316932711646707,0.5317347273466417,0.5564176445634722,2.2456132623250715
